#{"t_start": 1764083157.271582, "env_id": "None"}
r,l,t
-74.2,152,0.49297
-60.84762,156,0.533093
-71.546765,152,0.572514
-65.072503,154,0.611766
-84.25,167,0.654646
-70.421429,200,0.705874
-69.4,157,0.745395
-76.185714,161,0.785797
-74.485714,200,0.836515
-74.524112,155,0.875668
-82.25,152,0.916364
-71.385714,163,0.957044
-68.167107,158,0.996791
-76.3,159,1.037839
-67.585714,151,1.076048
-69.4,159,1.115325
-80.7,157,1.155996
-72.5,153,1.194402
-76.721949,157,1.23507
-68.485714,161,1.275605
-77.65,156,1.316383
-65.821429,200,1.367486
-72.135714,200,1.41789
-82.4,158,1.459639
-85.35,159,1.499959
-62.008624,153,1.538771
-60.521429,183,1.5863
-64.585463,154,1.62484
-64.285714,163,1.666551
-69.085714,200,1.718095
-78.89596,163,1.761673
-75.7,154,1.800846
-78.9,156,1.840253
-66.900948,156,1.879629
-62.885714,163,1.921728
-58.135714,159,1.962145
-75.45,158,2.002856
-70.232846,166,2.045201
-58.271429,165,2.087147
-67.564387,159,2.127836
-61.563135,155,2.168295
-74.65,167,2.210486
-71.597257,160,2.252045
-77.65,155,2.291548
-65.385714,169,2.335459
-66.107587,157,2.375317
-58.935714,160,2.41623
-66.75,156,2.456457
-72.443233,164,2.498035
-74.2,158,2.538924
-79.7,160,2.582079
-68.1,158,2.622423
-64.785714,154,2.663002
-60.171429,166,2.705639
-70.329845,160,2.746534
-65.235714,159,2.7888
-68.621429,163,2.830299
-72.211848,165,2.872132
-76.002816,162,2.914962
-68.235714,170,2.958172
-69.250943,154,3.000246
-79.55,159,3.041066
-64.171168,150,3.079852
-70.007087,158,3.121283
-72.8,152,3.160194
-62.235714,152,3.199928
-68.008575,163,3.241603
-63.087999,162,3.283806
-68.885714,180,3.330817
-57.435714,165,3.373176
-67.85,158,3.415144
-63.271429,174,3.461343
-73.4,158,3.501903
-63.435714,158,3.5446
-64.021471,161,3.586271
-59.271429,158,3.628282
-61.214977,163,3.67143
-59.235714,158,3.712742
-73.835924,165,3.755376
-70.35,156,3.79576
-73.676552,163,3.840452
-71.3,155,3.880974
-65.735714,162,3.922473
-63.685714,159,3.963812
-66.135714,184,4.012597
-65.135342,158,4.053435
-61.635714,167,4.098091
-66.446031,150,4.137388
-60.735714,148,4.176556
-61.235714,158,4.218948
-67.45,157,4.261719
-65.897791,154,4.302643
-61.685714,169,4.346433
-62.072739,162,4.388942
