#{"t_start": 1764081255.048394, "env_id": "None"}
r,l,t
-58.635714,156,0.569398
-79.55,157,0.62137
-65.043072,149,0.667645
-80.1,161,0.715111
-75.55,162,0.764844
-78.2,154,0.807977
-74.827838,161,0.858128
-81.85,158,0.903906
-71.807786,161,0.951715
-83.9,159,0.996879
-78.35,165,1.051364
-76.17624,157,1.096931
-69.157811,156,1.143818
-73.715487,159,1.195575
-77.274882,165,1.246143
-66.99687,158,1.29492
-82.4,155,1.340261
-70.285714,200,1.401631
-69.582541,156,1.452602
-71.885714,200,1.573874
-77.953118,162,1.639379
-74.2,161,1.692133
-77.9,158,1.740196
-75.5,151,1.787051
-70.55,154,1.833105
-75.0,153,1.880314
-78.518045,168,1.930402
-69.758996,163,1.979356
-75.75,157,2.026003
-76.9,154,2.072474
-74.185714,168,2.128151
-71.6,153,2.174189
-71.959925,165,2.223763
-81.4,156,2.269719
-74.2,156,2.320505
-73.53538,160,2.367518
-77.3,155,2.416559
-73.667719,159,2.463692
-59.835714,157,2.510046
-62.082379,157,2.555735
-69.785714,156,2.607356
-75.7,159,2.655017
-68.989671,157,2.703472
-77.75,158,2.750754
-70.625313,154,2.796621
-74.95,162,2.845999
-78.55,152,2.891382
-64.285714,152,2.951595
-66.621429,189,3.064015
-77.75,155,3.117611
-77.15,150,3.169683
-68.349267,157,3.221285
-71.9,154,3.267999
-57.535714,157,3.317394
-59.771429,163,3.367235
-73.657803,164,3.417223
-58.035714,162,3.466764
-76.766336,156,3.68258
-60.235714,162,3.893916
-65.935714,156,4.162696
-77.892017,172,4.273383
-68.336921,160,4.350271
-79.4,155,4.428736
-76.45,148,4.493106
-68.335714,152,4.553916
-61.085714,154,4.612633
-71.098659,155,4.695061
-74.389509,163,4.864436
-64.285714,168,4.942647
-78.4,157,4.996172
-68.35,156,5.052205
-80.65,159,5.10561
-80.75,156,5.158948
-60.490611,157,5.210308
-78.77812,169,5.269703
-81.35,154,5.317543
-71.85,158,5.366799
-63.923482,162,5.418107
-65.235714,156,5.467788
-75.4,159,5.518078
-65.985714,167,5.572732
-66.919894,164,5.627983
-72.309762,162,5.682068
-64.335714,164,5.737606
-57.085714,165,5.796486
-62.471429,169,5.849937
-70.661404,162,5.904071
-74.444923,155,5.967709
-63.532162,158,6.038633
-71.65,147,6.087761
-64.035714,167,6.147415
-66.435714,152,6.198242
-58.705438,158,6.251507
-69.65,152,6.302841
-70.7,162,6.361397
-54.321429,152,6.412237
-73.15,162,6.463419
-68.4,159,6.513721
-69.9,149,6.56033
-72.135714,171,6.613607
-63.251923,156,6.664875
-70.905434,163,6.715587
-69.996999,164,6.767914
-65.450113,200,6.851036
-69.635714,200,7.071533
-60.985714,159,7.125413
-62.385714,152,7.176571
-69.225115,169,7.231252
-70.779892,159,7.281726
-63.5646,161,7.333762
-70.235714,166,7.397068
-56.021429,159,7.461569
-73.047909,200,7.535349
-75.85,161,7.587898
-70.06365,200,7.652716
-58.541523,164,7.706243
-71.425497,154,7.755771
-65.857171,154,7.809839
-63.735714,164,7.873732
-68.985121,200,7.939344
-65.4,157,7.991867
-71.45,158,8.078787
-58.985714,159,8.136639
-75.358866,165,8.211962
-58.035714,160,8.266013
-69.734954,154,8.318062
-74.7,152,8.366227
-68.485714,165,8.419386
-66.393801,159,8.468778
-68.892041,162,8.521422
-61.285714,157,8.57348
-70.485714,200,8.637817
-68.975859,165,8.687605
-66.154265,163,8.739975
-69.678632,164,8.792261
-61.135714,160,8.845153
-66.85,160,8.896569
-58.458769,154,8.947077
-65.8251,151,8.994133
-57.785714,155,9.048685
-65.885714,155,9.099452
-59.599742,159,9.152446
-61.771429,163,9.203851
-72.1,156,9.254652
-58.935714,160,9.307173
-78.55,155,9.356464
-56.794929,159,9.40787
-82.4,163,9.459479
-63.885714,161,9.511875
-70.87995,157,9.561736
-56.485714,160,9.613438
-64.268429,161,9.665213
-70.0,158,9.716037
-72.0,152,9.764297
-67.753632,157,9.814805
-63.343385,162,9.866149
-67.951404,159,9.916199
-63.685714,162,9.968736
-66.085714,174,10.024007
-61.791789,165,10.075463
-58.149007,159,10.127494
-56.885714,167,10.181913
-71.435714,200,10.244779
-64.785714,156,10.294246
-58.832802,160,10.34523
-57.435714,161,10.394678
-72.585714,200,10.457649
-57.535714,169,10.51306
-71.65,160,10.563601
-66.95,155,10.612162
-51.435714,157,10.66366
-52.785714,168,10.717933
-62.671429,170,10.771865
-64.585714,159,10.821839
-56.618795,155,10.871533
-64.8,159,10.921294
-63.885714,155,10.971578
-64.785714,182,11.030664
-58.985714,156,11.07994
-62.852143,153,11.12784
-62.785714,158,11.180197
-67.285714,155,11.228704
-53.135714,161,11.279402
-56.972033,162,11.333812
-56.621429,162,11.409254
-72.65,158,11.504924
-65.385714,160,11.560213
-64.285714,155,11.613261
-66.835714,158,11.66489
-60.228178,156,11.716867
-62.385714,158,11.7706
-54.184936,155,11.826214
-59.785714,159,11.878377
-66.054159,165,11.9312
-66.169637,164,11.981818
-61.971429,166,12.034641
-54.685714,168,12.088599
-64.186533,168,12.143265
-58.952081,167,12.197552
-61.035714,156,12.24851
-56.071429,156,12.301012
-56.221429,159,12.352835
-55.185714,159,12.403734
-61.035714,155,12.455075
-62.385714,159,12.506138
-65.608893,156,12.558225
-71.4,158,12.608893
-59.735714,180,12.667243
-64.187428,166,12.721192
-61.161354,160,12.773647
-57.585714,167,12.829099
-63.071429,163,12.883814
-64.815471,158,12.935034
-64.485714,155,12.985757
-62.424777,164,13.037957
-62.525501,158,13.090451
-61.535714,162,13.14252
-54.285735,151,13.191991
-58.421429,168,13.245272
-66.87157,154,13.297282
-65.385714,164,13.352292
-56.485714,164,13.406491
-60.185714,158,13.455508
-65.5,149,13.50362
-57.295304,158,13.554376
-55.535714,161,13.60683
-52.235714,160,13.659251
-48.936975,152,13.709824
-58.221184,175,13.76531
-67.335714,174,13.823969
-71.15,151,13.874894
-64.617952,156,13.926835
-55.715108,169,13.981585
-45.97896,153,14.032776
-59.335714,167,14.087617
-60.996766,153,14.146441
-62.335714,179,14.204983
-61.063678,160,14.257833
-48.108898,167,14.31171
-64.0673,154,14.362645
-66.340888,160,14.415783
-70.307449,158,14.468222
-63.685714,162,14.521544
-63.968583,155,14.571562
-58.72509,169,14.625669
-50.621429,157,14.677413
-52.957828,157,14.728306
-65.525448,181,14.787828
-48.021429,151,14.836482
-49.798342,156,14.888672
-43.152691,160,14.942451
-58.211037,160,14.995416
-63.477496,150,15.053493
-64.435714,181,15.266193
-55.687783,156,15.391314
-73.108186,166,15.505808
-62.133365,157,15.577866
-59.71156,162,15.819509
-55.699626,149,15.901401
-63.025732,179,16.011665
-65.52769,160,16.093406
-63.885714,168,16.189996
-56.89119,157,16.252963
-55.839479,153,16.340093
-60.521452,157,16.400676
-66.827365,158,16.465142
-75.4,159,16.530506
-62.436029,200,16.598713
-56.435236,157,16.649608
-50.347016,152,16.71256
-57.03995,164,16.785666
-51.87914,156,16.839731
-55.887004,162,16.896162
-56.312269,158,16.949753
-47.521429,163,17.007713
-58.672802,199,17.07443
-62.485714,161,17.16833
-57.11279,163,17.228693
-49.049034,171,17.295369
-52.899366,165,17.351057
-58.584535,156,17.407233
-65.279935,159,17.461842
-63.467217,153,17.514634
-51.071429,162,17.568268
-60.521178,164,17.623628
-58.451137,163,17.678408
-64.185714,200,17.747087
-66.65,153,17.799181
