#{"t_start": 1764356346.3130639, "env_id": "None"}
r,l,t
-81.3,152,0.41272
-75.55,152,0.45479
-78.4,161,0.4838
-69.885714,160,0.519531
-67.635714,162,0.552789
-62.797712,164,0.582326
-82.271429,200,0.62339
-70.523193,158,0.65437
-71.821429,200,0.689874
-61.785714,151,0.720894
-83.75,153,0.751343
-76.885714,200,0.7879
-68.371429,200,0.828159
-75.612716,164,0.8606
-78.06897,164,0.889505
-85.05,156,0.923921
-87.0,158,0.955061
-61.475501,159,0.983523
-66.615982,159,1.015375
-74.9,157,1.046928
-73.2,151,1.073818
-73.55,159,1.104549
-72.385714,200,1.141814
-76.9,153,1.171522
-75.95,157,1.202077
-71.85,157,1.231044
-72.098074,163,1.281014
-76.6,157,1.311939
-74.384225,159,1.341324
-69.555885,155,1.372084
-54.940951,160,1.401562
-72.405457,163,1.43702
-72.0,158,1.468332
-78.5,155,1.49618
-69.1,154,1.526073
-71.2,153,1.554665
-66.220731,156,1.586415
-84.95,157,1.617411
-74.65,153,1.644814
-79.55,149,1.675164
-76.55,149,1.701723
-83.35,163,1.733136
-74.8,161,1.765603
-67.785714,162,1.794726
-71.5,153,1.824731
-73.1,158,1.855358
-68.886981,150,1.88325
-73.15,155,1.915821
-71.15,152,1.942514
-79.6,158,1.975133
-71.553358,190,2.012709
-86.7,158,2.040793
-67.504522,168,2.074155
-68.463677,200,2.11275
-67.7,161,2.140948
-72.45,154,2.170905
-74.920947,162,2.204029
-73.990368,156,2.231766
-69.2,153,2.261763
-78.7,165,2.292267
-77.55,161,2.323723
-77.7,157,2.354565
-74.169489,157,2.382763
-68.23864,156,2.416101
-64.255101,157,2.446674
-68.685714,158,2.474564
-66.564239,156,2.506327
-75.005114,158,2.535506
-63.685714,161,2.567153
-73.875127,154,2.59713
-69.764467,159,2.627237
-53.957788,163,2.659985
-66.630096,159,2.691925
-76.45,157,2.721137
-76.12475,158,2.75216
-68.735714,155,2.779814
-61.085714,159,2.810694
-64.518755,160,2.843456
-61.335714,162,2.872378
-81.35,166,2.906791
-76.55,157,2.939136
-70.3,156,2.966974
-78.072029,164,2.998759
-70.3,149,3.026074
-72.6,156,3.056941
-64.193769,158,3.087391
-69.386812,163,3.116224
-71.85,159,3.148404
-67.435714,158,3.176443
-60.135714,150,3.205758
-67.485714,181,3.24152
-68.278357,164,3.27188
-72.645514,161,3.303457
-67.4,158,3.335061
-63.651331,156,3.363186
-68.911033,166,3.397835
-82.4,157,3.426339
-78.55,155,3.457931
-67.2,159,3.489284
-63.601597,156,3.516954
-62.550209,157,3.54831
-63.199139,157,3.579582
-62.414197,157,3.607791
-71.673754,169,3.640582
-68.15,153,3.669171
-70.65,151,3.699067
-71.75,149,3.72862
-73.05,159,3.758526
-69.884728,161,3.790606
-67.54567,152,3.817751
-63.816088,162,3.849243
-70.95,161,3.884062
-75.9,157,3.913026
-66.835714,167,3.945802
-63.386527,163,3.978914
-67.825481,154,4.006188
-61.7,159,4.037502
-60.735714,162,4.066005
-63.817287,161,4.098861
-70.25,165,4.131006
-61.653104,158,4.15885
-59.323411,151,4.189468
-65.216066,192,4.226738
-71.835714,160,4.255289
-65.5,161,4.28757
-69.95,160,4.319098
-66.9,158,4.347436
-66.185714,162,4.381891
-60.488674,158,4.411819
-61.685714,172,4.445751
-65.785714,159,4.476609
-65.178256,168,4.508175
-53.815862,162,4.540056
-72.1,158,4.570508
-75.65,161,4.599042
-61.635714,166,4.63307
-67.45,156,4.663501
-59.949569,161,4.692396
-68.15,147,4.722765
-56.430663,200,4.761733
-60.35075,162,4.790515
-55.305796,163,4.82355
-77.7,159,4.852451
