#{"t_start": 1764358264.8270621, "env_id": "None"}
r,l,t
-72.544334,156,0.570196
-74.580683,157,0.599211
-72.685714,200,0.636171
-72.885714,161,0.664153
-73.1,163,0.692966
-77.435714,185,0.72561
-64.385714,159,0.754648
-74.45,153,0.782053
-81.45,156,0.809337
-77.15,156,0.837294
-70.120112,163,0.866234
-75.26214,162,0.894654
-81.05,150,1.237577
-78.2,157,1.266834
-69.757096,147,1.293489
-76.400901,161,1.322253
-75.45,151,1.348815
-74.7,157,1.377625
-83.05,151,1.404596
-69.635714,165,1.433942
-78.3,161,1.463176
-70.80374,158,1.49123
-79.55,159,1.519271
-85.05,158,1.546897
-71.685714,168,1.577146
-67.212001,162,1.890416
-74.9,158,1.919151
-70.167441,162,1.948019
-77.049328,157,1.975909
-70.1327,156,2.004807
-71.662712,160,2.032955
-67.539429,162,2.061552
-70.409485,200,2.097681
-78.135714,165,2.12695
-78.15,158,2.154884
-83.35,153,2.181943
-76.25,161,2.211402
-66.435714,165,2.240952
-62.185714,168,2.55536
-72.05,155,2.583246
-72.5,162,2.612357
-73.1,160,2.642335
-72.45,161,2.671434
-68.52559,157,2.699472
-80.05,160,2.727978
-72.034587,155,2.756448
-68.335714,167,2.785899
-68.635714,200,2.821242
-68.70948,164,2.851181
-75.35,154,2.878181
-74.25,153,3.195417
-64.124775,158,3.22489
-75.3,163,3.255445
-63.02333,157,3.284911
-66.169284,155,3.31295
-63.763955,159,3.341377
-67.3,159,3.370794
-72.4,148,3.397044
-61.832357,158,3.425252
-74.5,156,3.453014
-69.287025,160,3.482274
-58.559068,162,3.511606
-72.45,157,3.540183
-69.75,156,3.863403
-72.35,155,3.914809
-55.835812,157,3.944439
-65.5,159,3.97325
-68.5,158,4.002927
-67.95,165,4.032421
-66.35,157,4.060302
-67.124782,153,4.087627
-68.95,153,4.116504
-67.55,155,4.144432
-69.2,161,4.172754
-64.971968,160,4.201733
-71.55,158,4.230183
-66.45,158,4.549972
-51.685714,165,4.57958
-64.459623,163,4.609101
-66.185714,165,4.640121
-63.45,147,4.666569
-57.962998,158,4.695182
-64.35,158,4.72489
-70.9,154,4.754528
-61.25,152,4.782652
-62.75,154,4.810835
-55.635714,159,4.842066
-63.946097,165,4.871473
-69.720991,192,4.906409
-55.151609,155,5.230765
-49.121429,160,5.260945
-64.635714,176,5.29189
-50.685714,152,5.318646
-60.235714,157,5.346488
-68.95,156,5.375503
-62.676297,162,5.404917
-67.45,155,5.432869
-68.7,153,5.461215
-71.55,166,5.491117
-64.8,159,5.519966
-61.571429,190,5.554259
