#{"t_start": 1764231515.576874, "env_id": "None"}
r,l,t
-75.35,152,0.384078
-78.45,152,0.404884
-77.814576,163,0.427112
-85.55,157,0.448023
-76.870746,170,0.515622
-67.365781,154,0.536324
-70.839705,156,0.557315
-80.9,154,0.578437
-78.68794,155,0.599988
-70.194818,162,0.621968
-58.03187,160,0.773441
-77.85,157,0.79556
-70.01121,161,0.818446
-80.15,161,0.840398
-78.25,158,0.861522
-72.6,158,0.88265
-83.1,159,0.904396
-71.7,153,0.925102
-72.095357,156,0.947038
-83.4,154,0.968714
-71.335714,151,1.124011
-74.633269,165,1.146528
-82.360703,166,1.169037
-63.144213,155,1.19067
-67.378277,162,1.213153
-69.569776,158,1.234564
-75.285714,159,1.25579
-69.485029,161,1.277568
-74.771586,161,1.298724
-83.8,159,1.319589
-71.89761,169,1.495403
-60.453509,166,1.518913
-68.35,153,1.540126
-70.526329,154,1.561351
-66.785714,200,1.589308
-73.595104,159,1.610911
-75.2,157,1.632444
-68.135714,200,1.659763
-74.249805,158,1.681555
-82.5,161,1.702778
-85.15,157,1.871315
-70.402021,164,1.893299
-82.2,155,1.91388
-68.785714,169,1.93734
-66.085714,169,1.960498
-73.7,153,1.981839
-69.897573,154,2.003098
-81.7,155,2.024392
-68.985714,166,2.047148
-72.366776,164,2.120771
-84.1,155,2.27949
-70.6,159,2.30139
-74.818311,157,2.322748
-65.65,158,2.344628
-69.962561,163,2.366746
-76.944718,166,2.389281
-73.952893,156,2.410309
-71.311934,154,2.431696
-75.539547,164,2.454776
-70.41608,160,2.476692
-67.825964,167,2.637738
-73.796085,154,2.659027
-73.10071,159,2.680749
-74.283271,156,2.702587
-74.55,157,2.724759
-76.55,155,2.746182
-76.65,152,2.766895
-82.6,159,2.788041
-73.65,153,2.808932
-74.25,156,2.829677
-69.935714,180,2.990501
-76.9,160,3.013366
-68.647213,163,3.036903
-75.25,160,3.059224
-72.621429,200,3.087401
-79.45,159,3.11021
-72.135714,159,3.132258
-74.508947,167,3.155227
-69.965731,162,3.176779
-79.45,157,3.198226
-72.335714,200,3.369173
-78.05,161,3.391298
-63.940604,150,3.412476
-58.908949,161,3.435107
-78.1,160,3.456514
-69.827044,159,3.477724
-72.985714,153,3.498504
-69.5,159,3.520019
-60.337871,159,3.542138
-72.035714,180,3.567239
-71.448857,157,3.730898
-57.885714,153,3.752111
-60.148095,164,3.774561
-73.499415,159,3.796424
-67.871429,200,3.823639
-76.05,163,3.845373
-67.997931,160,3.866664
-62.036034,161,3.936471
-69.468992,163,3.958357
-80.15,151,3.978477
-71.889718,159,4.142009
-81.4,160,4.164482
-79.85,153,4.185563
-76.357347,163,4.20826
-64.585714,157,4.230572
-74.390056,153,4.252581
-67.815617,160,4.275012
-75.05,157,4.296757
-79.0,156,4.318022
-67.365776,158,4.339717
-71.971429,200,4.50209
-75.9,150,4.522583
-68.435714,177,4.547005
-76.4,156,4.568098
-76.760768,160,4.589893
-75.435714,162,4.612113
-75.85,158,4.634045
-64.007819,157,4.655374
-75.33809,160,4.677088
-75.912948,161,4.699294
-72.815743,159,4.865237
-80.4,157,4.887097
-56.135714,163,4.908844
-73.035714,200,4.936677
-70.935714,166,4.960108
-79.95,159,4.982524
-69.45,155,5.003431
-75.285714,200,5.03228
-72.428023,169,5.056021
-80.15,159,5.078834
-77.85,160,5.24717
-71.85,149,5.267625
-78.65,154,5.288668
-87.85,154,5.309798
-62.593391,163,5.332373
-79.2,154,5.352833
-83.3,157,5.373661
-72.185714,200,5.400495
-79.6,159,5.421467
-81.4,158,5.442339
-74.705263,167,5.609072
-52.571429,156,5.630184
-81.4,162,5.651507
-73.55,160,5.67252
-73.7,155,5.693061
-72.043108,162,5.763039
-84.9,153,5.784417
-79.885714,200,5.812161
-81.75,158,5.834336
-76.7,161,5.857772
-65.335714,157,6.013509
-75.75,155,6.03463
-72.574073,159,6.056062
-76.6,156,6.077343
-71.026642,164,6.099139
-78.3,148,6.118879
-69.302107,164,6.140969
-70.746908,163,6.162258
-73.273859,163,6.18359
-76.8,154,6.203771
-74.5,152,6.358654
-78.8,161,6.380529
-65.171429,164,6.402849
-79.0,157,6.424438
-68.739937,159,6.446265
-77.9,158,6.466981
-78.054923,156,6.487488
-80.2,157,6.50817
-63.535714,157,6.530599
-74.9,156,6.552182
-58.332115,151,6.706455
-70.45,161,6.728482
-80.0,153,6.749074
-67.26567,158,6.770442
-77.0,156,6.791356
-67.721429,178,6.815299
-73.278563,156,6.835772
-78.2,155,6.856018
-75.135714,200,6.882217
-76.05,157,6.903354
-71.040426,164,7.067216
-65.798187,162,7.089677
-74.485714,200,7.117333
-64.471429,174,7.14096
-70.541299,159,7.162866
-75.8,155,7.18415
-68.732522,153,7.205538
-67.235714,166,7.22772
-76.35,160,7.248588
-73.8,158,7.269649
-76.3,152,7.429838
-70.435714,158,7.45178
-74.383509,157,7.473479
-87.45,161,7.496218
-74.64577,162,7.56451
-79.0,159,7.586512
-73.985714,164,7.609527
-68.035714,158,7.63189
-66.985714,161,7.654133
-73.7,155,7.675966
-74.451949,155,7.83661
-70.010652,161,7.858905
-81.15,153,7.879953
-75.876348,168,7.903129
-68.335714,166,7.925978
-80.75,160,7.948559
-71.172784,156,7.970087
-64.460658,200,7.997688
-70.600393,151,8.019704
-75.985714,163,8.04281
-79.35,157,8.209467
-72.75,155,8.230871
-63.971429,200,8.25858
-73.188992,156,8.279977
-81.2,159,8.301628
-70.685714,200,8.329395
-60.285714,163,8.351661
-72.149931,163,8.373822
-65.271429,200,8.401114
-77.85,160,8.42292
-67.485714,154,8.59229
-76.100211,156,8.613545
-81.435592,162,8.635751
-76.32262,166,8.658997
-75.85,156,8.680163
-79.3,156,8.701312
-69.070896,154,8.722644
-68.335714,153,8.743441
-82.8,156,8.764531
-70.018435,163,8.786648
-72.8,156,8.94878
-75.1,153,8.969019
-82.3,160,8.990021
-81.6,154,9.010325
-81.1,151,9.031318
-72.316175,166,9.054225
-63.854817,152,9.075172
-77.1,158,9.096693
-77.1,157,9.11845
-75.95,156,9.139629
-83.655644,200,9.299867
-76.55,158,9.321716
-72.766391,164,9.393578
-73.15,155,9.414821
-69.634423,159,9.435829
-61.121429,154,9.456896
-72.65,158,9.477662
-72.0,158,9.498422
-79.55,155,9.518696
-75.1,154,9.539335
-73.05,156,9.69674
-68.521429,200,9.724468
-66.385714,159,9.746466
-68.485714,155,9.768455
-74.440991,164,9.79117
-74.65,162,9.813512
-72.193896,156,9.834981
-69.635714,158,9.857363
-71.000649,166,9.880281
-70.15,153,9.901776
-71.859611,160,10.070866
-81.5,160,10.093189
-79.35,163,10.11589
-74.15,153,10.136902
-77.05,154,10.158943
-71.153126,171,10.182518
-58.514678,161,10.204883
-70.031019,160,10.227041
-80.6,164,10.250327
-73.835714,179,10.274819
-77.5,162,10.438756
-71.185714,178,10.463146
-61.285714,162,10.485157
-77.45,158,10.506663
-78.185714,200,10.533879
-71.25,154,10.555386
-71.934989,162,10.577215
-72.85,159,10.598836
-74.7,162,10.6213
-66.394404,164,10.64346
-76.791811,158,10.808212
-67.932493,161,10.830489
-76.2,155,10.852272
-75.631419,163,10.874757
-66.436549,153,10.895912
-70.505527,200,10.923911
-75.6,158,10.993494
-70.360678,165,11.015346
-81.4,161,11.036582
-74.95,162,11.058125
-83.6,159,11.223479
-67.739273,161,11.245495
-73.986449,165,11.26799
-73.985714,160,11.290137
-83.4,162,11.312141
-73.351637,161,11.333997
-75.685714,180,11.357939
-73.935714,200,11.384909
-72.7,154,11.405213
-62.885714,148,11.425016
-70.45,156,11.589036
-69.235714,160,11.611512
-68.167495,163,11.634011
-69.885714,200,11.661922
-59.262134,159,11.684556
-74.9,157,11.706411
-75.62391,159,11.728725
-71.896785,152,11.749984
-86.5,154,11.771651
-72.835714,165,11.793851
-74.25,158,11.959635
-74.75,158,11.981346
-70.598696,168,12.004613
-69.036655,200,12.032016
-76.119446,158,12.053663
-64.535714,152,12.075211
-62.685714,164,12.097679
-71.2,153,12.118456
-69.685714,200,12.145639
-77.2,153,12.166914
-72.832072,155,12.332605
-73.485714,169,12.354973
-71.4,154,12.37528
-69.184344,156,12.39643
-85.6,158,12.418223
-73.080681,166,12.441504
-75.4,151,12.462996
-78.55,159,12.484981
-80.95,159,12.507068
-65.985714,159,12.529061
-67.95,157,12.684468
-71.585714,171,12.708083
-65.021429,159,12.730001
-73.185299,159,12.751919
-71.613805,162,12.774402
-70.235714,170,12.797279
-84.5,163,12.8192
-62.771429,200,12.893604
-71.885714,200,12.920381
-81.4,154,12.940894
-74.704867,167,13.113528
-82.65,160,13.135707
-70.335714,166,13.15829
-67.688828,161,13.180198
-74.266716,165,13.202734
-70.285714,200,13.231071
-80.65,156,13.252301
-72.912806,155,13.273388
-76.2,153,13.294266
-64.787279,154,13.314519
-70.94187,200,13.484066
-57.12582,160,13.506089
-73.535714,200,13.533847
-82.55,159,13.555648
-71.3,152,13.576413
-74.672946,158,13.598595
-74.55,159,13.620466
-78.771429,197,13.647692
-76.45,161,13.669926
-76.155164,166,13.692856
-67.685714,164,13.860825
-76.485714,164,13.88445
-69.8,149,13.905376
-73.863799,165,13.93149
-76.25,155,13.955879
-77.75,158,13.978055
-71.485714,161,14.001195
-75.7,152,14.022453
-85.55,157,14.0443
-76.65,163,14.066754
-64.635714,161,14.230424
-81.35,161,14.252565
-74.856413,200,14.280409
-65.19178,158,14.302036
-71.656312,163,14.324856
-83.1,158,14.346535
-79.45,161,14.368587
-69.185714,200,14.396511
-61.720414,165,14.418868
-85.45,160,14.440205
-71.074891,161,14.635271
-81.35,159,14.657824
-81.25,160,14.68019
-78.158102,162,14.702862
-74.7,154,14.724741
-75.128165,163,14.747372
-74.75,159,14.769336
-69.435714,155,14.790744
-77.0,151,14.860683
-75.346625,156,14.881976
-68.25,158,15.040595
-71.714985,155,15.061664
-80.75,158,15.084286
-71.75,156,15.105053
-70.693595,164,15.126708
-71.185714,164,15.148339
-67.785714,157,15.170283
-61.401668,164,15.192912
-63.14065,162,15.215369
-61.285714,159,15.237263
-60.7,158,15.382765
-61.3,164,15.395253
-60.9,160,15.407629
-60.5,156,15.419602
-61.4,165,15.432204
-60.5,156,15.44415
-61.2,163,15.456807
-60.2,153,15.46849
-65.9,160,15.480675
-60.8,159,15.492788
