config_id,learning_rate,gamma,net_arch,n_steps,ent_coef,vf_coef,total_timesteps,eval_mean_reward,eval_std_reward,eval_mean_length,eval_std_length,model_path,log_dir
A2C-01,0.0007,0.99,"[128, 128]",128,0.0,0.5,100000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-01_lr0.0007_g0.99_ns128_ent0.0_vf0.5.zip,logs/pg/a2c/A2C-01_A2C-01_20251128_205719
A2C-02,0.0003,0.99,"[128, 128]",128,0.01,0.5,100000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-02_lr0.0003_g0.99_ns128_ent0.01_vf0.5.zip,logs/pg/a2c/A2C-02_A2C-02_20251128_205741
A2C-03,0.001,0.99,"[128, 128]",128,0.0,0.5,100000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-03_lr0.001_g0.99_ns128_ent0.0_vf0.5.zip,logs/pg/a2c/A2C-03_A2C-03_20251128_205802
A2C-04,0.0007,0.95,"[64, 64]",64,0.0,0.5,100000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-04_lr0.0007_g0.95_ns64_ent0.0_vf0.5.zip,logs/pg/a2c/A2C-04_A2C-04_20251128_205823
A2C-05,0.0007,0.99,"[256, 256]",256,0.0,0.5,100000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-05_lr0.0007_g0.99_ns256_ent0.0_vf0.5.zip,logs/pg/a2c/A2C-05_A2C-05_20251128_205845
A2C-06,0.0003,0.95,"[256, 256]",256,0.02,0.5,100000,-48.996601913137226,4.062063570942802,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-06_lr0.0003_g0.95_ns256_ent0.02_vf0.5.zip,logs/pg/a2c/A2C-06_A2C-06_20251128_205906
A2C-07,0.0007,0.99,"[128, 128]",64,0.01,0.7,100000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-07_lr0.0007_g0.99_ns64_ent0.01_vf0.7.zip,logs/pg/a2c/A2C-07_A2C-07_20251128_205928
A2C-08,0.001,0.95,"[64, 64]",128,0.02,0.5,100000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-08_lr0.001_g0.95_ns128_ent0.02_vf0.5.zip,logs/pg/a2c/A2C-08_A2C-08_20251128_205950
A2C-09,0.0003,0.99,"[256, 256]",64,0.0,0.7,100000,-93.53,3.191801998871485,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-09_lr0.0003_g0.99_ns64_ent0.0_vf0.7.zip,logs/pg/a2c/A2C-09_A2C-09_20251128_210011
A2C-10,0.0007,0.95,"[128, 128]",256,0.01,0.5,100000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/a2c_ecotrack_A2C-10_lr0.0007_g0.95_ns256_ent0.01_vf0.5.zip,logs/pg/a2c/A2C-10_A2C-10_20251128_210034
