config_id,learning_rate,gamma,batch_size,buffer_size,target_update_interval,exploration_fraction,exploration_final_eps,total_timesteps,eval_mean_reward,eval_std_reward,eval_mean_length,eval_std_length,model_path,log_dir
DQN-01,0.001,0.99,64,50000,1000,0.2,0.05,500000,18.25325503722171,0.9736441149402155,200.0,0.0,models/dqn/dqn_ecotrack_DQN-01_lr0.001_g0.99_bs64_buf50000.zip,logs/dqn/DQN-01_DQN-01_20251125_165736
DQN-02,0.0003,0.99,64,50000,1000,0.3,0.05,500000,17.29072563668833,0.7121091598880764,200.0,0.0,models/dqn/dqn_ecotrack_DQN-02_lr0.0003_g0.99_bs64_buf50000.zip,logs/dqn/DQN-02_DQN-02_20251125_165944
DQN-03,0.003,0.99,64,50000,1000,0.2,0.05,500000,-7.543103905467982,17.05731710332041,200.0,0.0,models/dqn/dqn_ecotrack_DQN-03_lr0.003_g0.99_bs64_buf50000.zip,logs/dqn/DQN-03_DQN-03_20251125_170151
DQN-04,0.001,0.95,32,20000,1000,0.25,0.1,500000,18.462751977040433,1.6443888418087826,200.0,0.0,models/dqn/dqn_ecotrack_DQN-04_lr0.001_g0.95_bs32_buf20000.zip,logs/dqn/DQN-04_DQN-04_20251125_170401
DQN-05,0.001,0.995,128,100000,1000,0.2,0.05,500000,8.624644737863804,11.862443423901567,200.0,0.0,models/dqn/dqn_ecotrack_DQN-05_lr0.001_g0.995_bs128_buf100000.zip,logs/dqn/DQN-05_DQN-05_20251125_170557
DQN-06,0.0003,0.995,64,100000,1000,0.3,0.05,500000,20.093907306109127,0.5203238668303944,200.0,0.0,models/dqn/dqn_ecotrack_DQN-06_lr0.0003_g0.995_bs64_buf100000.zip,logs/dqn/DQN-06_DQN-06_20251125_170834
DQN-07,0.001,0.99,32,50000,1000,0.1,0.05,500000,-8.450647594375997,1.054707964834182,200.0,0.0,models/dqn/dqn_ecotrack_DQN-07_lr0.001_g0.99_bs32_buf50000.zip,logs/dqn/DQN-07_DQN-07_20251125_171100
DQN-08,0.001,0.99,128,50000,1000,0.3,0.1,500000,19.549383934755305,0.2583470814382861,200.0,0.0,models/dqn/dqn_ecotrack_DQN-08_lr0.001_g0.99_bs128_buf50000.zip,logs/dqn/DQN-08_DQN-08_20251125_171259
DQN-09,0.0003,0.95,64,100000,1000,0.15,0.05,500000,18.38485113080437,0.7404124592483019,200.0,0.0,models/dqn/dqn_ecotrack_DQN-09_lr0.0003_g0.95_bs64_buf100000.zip,logs/dqn/DQN-09_DQN-09_20251125_171536
DQN-10,0.003,0.99,128,20000,1000,0.25,0.05,500000,12.914098470284916,1.3126680323452995,200.0,0.0,models/dqn/dqn_ecotrack_DQN-10_lr0.003_g0.99_bs128_buf20000.zip,logs/dqn/DQN-10_DQN-10_20251125_171744
