config_id,algo,learning_rate,gamma,net_arch,n_steps,batch_size,clip_range,ent_coef,n_epochs,vf_coef,total_timesteps,eval_mean_reward,eval_std_reward,eval_mean_length,eval_std_length,model_path,log_dir
PPO-01,ppo,0.0003,0.99,128-128,2048,64,0.2,0.0,10,0.5,50000,-37.22428571428575,3.513427886011615,157.0,2.792848008753788,models/pg/ppo_ecotrack_PPO-01_lr0.0003_g0.99_ns2048_bs64_clip0.2_ent0.0_ep10.zip,logs/pg/ppo/PPO-01_PPO-01_20251128_213104
PPO-02,ppo,0.0001,0.99,128-128,2048,64,0.2,0.01,10,0.5,50000,-49.14571428571426,1.263487237766961,160.6,5.407402333838311,models/pg/ppo_ecotrack_PPO-02_lr0.0001_g0.99_ns2048_bs64_clip0.2_ent0.01_ep10.zip,logs/pg/ppo/PPO-02_PPO-02_20251128_213123
PPO-03,ppo,0.001,0.99,128-128,2048,64,0.2,0.0,10,0.5,50000,-39.43285714285715,4.174124862452839,157.3,3.0347981810987035,models/pg/ppo_ecotrack_PPO-03_lr0.001_g0.99_ns2048_bs64_clip0.2_ent0.0_ep10.zip,logs/pg/ppo/PPO-03_PPO-03_20251128_213143
PPO-04,ppo,0.0003,0.95,64-64,1024,64,0.1,0.01,5,0.5,50000,-33.79325984372774,0.2555128818958934,160.6,5.407402333838311,models/pg/ppo_ecotrack_PPO-04_lr0.0003_g0.95_ns1024_bs64_clip0.1_ent0.01_ep5.zip,logs/pg/ppo/PPO-04_PPO-04_20251128_213202
PPO-05,ppo,0.0003,0.99,256-256,4096,128,0.2,0.0,10,0.5,50000,-33.24581490228195,0.3222596570231043,160.6,5.407402333838311,models/pg/ppo_ecotrack_PPO-05_lr0.0003_g0.99_ns4096_bs128_clip0.2_ent0.0_ep10.zip,logs/pg/ppo/PPO-05_PPO-05_20251128_213216
PPO-06,ppo,0.0003,0.99,256-256,2048,256,0.3,0.02,10,0.5,50000,-38.6207142857143,3.2823809955579506,157.4,3.168595903550972,models/pg/ppo_ecotrack_PPO-06_lr0.0003_g0.99_ns2048_bs256_clip0.3_ent0.02_ep10.zip,logs/pg/ppo/PPO-06_PPO-06_20251128_213233
PPO-07,ppo,0.0001,0.99,64-64,2048,128,0.2,0.0,5,0.5,50000,-53.79499999999983,2.0710444225076348,155.9,3.4190641994557516,models/pg/ppo_ecotrack_PPO-07_lr0.0001_g0.99_ns2048_bs128_clip0.2_ent0.0_ep5.zip,logs/pg/ppo/PPO-07_PPO-07_20251128_213249
PPO-08,ppo,0.0003,0.95,128-128,1024,256,0.2,0.01,10,0.5,50000,-34.665714285714316,0.27766886753830083,160.6,5.407402333838311,models/pg/ppo_ecotrack_PPO-08_lr0.0003_g0.95_ns1024_bs256_clip0.2_ent0.01_ep10.zip,logs/pg/ppo/PPO-08_PPO-08_20251128_213302
PPO-09,ppo,0.001,0.99,256-256,1024,64,0.1,0.0,5,0.5,50000,-35.53780237785119,0.49320956218359857,160.6,5.407402333838311,models/pg/ppo_ecotrack_PPO-09_lr0.001_g0.99_ns1024_bs64_clip0.1_ent0.0_ep5.zip,logs/pg/ppo/PPO-09_PPO-09_20251128_213315
PPO-10,ppo,0.0003,0.99,128-128,4096,128,0.3,0.01,10,0.5,50000,-35.22930011713127,2.759121297176287,156.4,3.0397368307141326,models/pg/ppo_ecotrack_PPO-10_lr0.0003_g0.99_ns4096_bs128_clip0.3_ent0.01_ep10.zip,logs/pg/ppo/PPO-10_PPO-10_20251128_213332
