config_id,learning_rate,gamma,net_arch,batch_episodes,total_episodes,use_baseline,ent_coef,eval_mean_reward,eval_std_reward,eval_mean_length,eval_std_length,model_path,log_dir
REIN-01,0.001,0.99,"[128, 128]",10,400,True,0.0,-60.46000000000008,0.42473521163191574,158.6,4.24735211631906,models/pg/reinforce_ecotrack_REIN-01_lr0.001_g0.99_be10_bl1_ent0.0.pt,logs/pg/reinforce/REIN-01_REIN-01_20251127_101818
REIN-02,0.0003,0.99,"[128, 128]",10,400,True,0.01,-61.34000000000007,1.5628179676469045,159.4,3.6386810797320503,models/pg/reinforce_ecotrack_REIN-02_lr0.0003_g0.99_be10_bl1_ent0.01.pt,logs/pg/reinforce/REIN-02_REIN-02_20251127_101835
REIN-03,0.003,0.99,"[128, 128]",10,400,True,0.0,-61.56000000000008,2.141237959685937,159.1,3.2388269481403293,models/pg/reinforce_ecotrack_REIN-03_lr0.003_g0.99_be10_bl1_ent0.0.pt,logs/pg/reinforce/REIN-03_REIN-03_20251127_101852
REIN-04,0.001,0.95,"[64, 64]",5,400,True,0.0,-118.05,1.8848076824970763,157.7,3.257299494980466,models/pg/reinforce_ecotrack_REIN-04_lr0.001_g0.95_be5_bl1_ent0.0.pt,logs/pg/reinforce/REIN-04_REIN-04_20251127_101909
REIN-05,0.001,0.99,"[256, 256]",20,400,True,0.0,-118.85,1.7327723451163457,160.3,3.465544690232691,models/pg/reinforce_ecotrack_REIN-05_lr0.001_g0.99_be20_bl1_ent0.0.pt,logs/pg/reinforce/REIN-05_REIN-05_20251127_101925
REIN-06,0.0003,0.95,"[128, 128]",20,400,True,0.01,-120.25,1.5842979517754858,158.6,3.1685959035509716,models/pg/reinforce_ecotrack_REIN-06_lr0.0003_g0.95_be20_bl1_ent0.01.pt,logs/pg/reinforce/REIN-06_REIN-06_20251127_101944
REIN-07,0.001,0.99,"[128, 128]",5,400,False,0.0,-118.97999999999999,2.148162005063863,159.3,3.318132004607411,models/pg/reinforce_ecotrack_REIN-07_lr0.001_g0.99_be5_bl0_ent0.0.pt,logs/pg/reinforce/REIN-07_REIN-07_20251127_102001
REIN-08,0.003,0.95,"[64, 64]",10,400,False,0.01,-53.36999999999982,1.654720520208759,157.4,4.82078831727758,models/pg/reinforce_ecotrack_REIN-08_lr0.003_g0.95_be10_bl0_ent0.01.pt,logs/pg/reinforce/REIN-08_REIN-08_20251127_102018
REIN-09,0.0003,0.99,"[256, 256]",10,400,False,0.0,-121.6,3.233032632065439,159.3,3.0016662039607267,models/pg/reinforce_ecotrack_REIN-09_lr0.0003_g0.99_be10_bl0_ent0.0.pt,logs/pg/reinforce/REIN-09_REIN-09_20251127_102034
REIN-10,0.001,0.95,"[256, 256]",20,400,True,0.01,-60.42000000000009,0.47497368348152413,158.2,4.749736834815167,models/pg/reinforce_ecotrack_REIN-10_lr0.001_g0.95_be20_bl1_ent0.01.pt,logs/pg/reinforce/REIN-10_REIN-10_20251127_102053
